sector_j,ExportValue_j
D01,17403.7
D02,106.5
D03,1471.1
D05,1087.7
D06,4318.9
D07,7979.5
D08,3630.7
D09,783.9
D10T12,55181.1
D13T15,342126.6
D16,16952.2
D17T18,30878.6
D19,46495.0
D20,231757.6
D21,19556.5
D22,119495.5
D23,66197.7
D24A,88791.4
D24B,41986.6
D25,144663.1
D26,658272.2
D27,269003.9
D28,223999.6
D29,123293.0
D301,24092.0
D302T309,39535.2
D31T33,206423.1
D35,2125.4
D36T39,0.1
D41T43,0.1
D45T47,261527.1
D49,33286.1
D50,31165.8
D51,17772.2
D52,9152.7
D53,5.7
D55T56,0.1
D58T60,9802.0
D61,13070.1
D62T63,48634.1
D64T66,12790.3
D68,4660.5
D69T75,65538.1
D77T82,33613.6
D84,0.1
D85,0.1
D86T88,0.1
D90T93,8193.6
D94T96,0.3
D97T98,0.0
