sector_j,gamma_cj
D01,0.9610592644303191
D02,0.9389926045220488
D03,0.9882169200548445
D05,0.9296896208487921
D06,0.3278832116788321
D07,1e-06
D08,0.825576140985088
D09,1e-06
D10T12,0.9577966754979325
D13T15,0.9739046346555325
D16,0.9483308964352642
D17T18,0.9905561357565327
D19,0.9075219263944577
D20,0.8770890548483858
D21,0.9496969966778147
D22,0.9513919221272384
D23,0.9764614531336661
D24A,0.006535947712418301
D24B,0.0004580852038479157
D25,0.9544797504628103
D26,0.7691984663590439
D27,0.9505677784009608
D28,0.8574942420786654
D29,0.9412431092123719
D301,0.952082565425728
D302T309,0.9011717244256225
D31T33,0.8900055483733428
D35,0.9994501533258251
D36T39,0.9995859759155006
D41T43,0.0027777777777777783
D45T47,0.9251682443342921
D49,0.980125058473126
D50,0.9212710175073668
D51,0.7877844191069365
D52,0.9568369985617302
D53,0.997400699236819
D55T56,0.9995414313075315
D58T60,0.8389188688051866
D61,0.9667169333400835
D62T63,0.8641998579467844
D64T66,0.9801504319590144
D68,0.9989116285374411
D69T75,0.9615789794626695
D77T82,0.9259533798366927
D84,0.9998223893806079
D85,0.9996905578448942
D86T88,0.9998777503302027
D90T93,0.9768486884313858
D94T96,0.9996668013131106
D97T98,0.999999
